dimension_id,domain_id,axis_code,applicability,applicability_reason,allowed_values_json,sort_order
DOM-03-DIM-01,DOM-03,object,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""모바일 게임"",""PC·콘솔 게임"",""e스포츠"",""보드·소셜 게임""]",1
DOM-03-DIM-02,DOM-03,format,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""짧은 세션"",""장기 캠페인"",""경쟁전"",""관전·스트리밍""]",2
DOM-03-DIM-03,DOM-03,occasion,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""틈새 시간"",""저녁 여가"",""친구 모임"",""대회·시즌""]",3
DOM-03-DIM-04,DOM-03,location,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",4
DOM-03-DIM-05,DOM-03,frequency_intensity,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",5
DOM-03-DIM-06,DOM-03,discovery,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",6
DOM-03-DIM-07,DOM-03,acquisition_access,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",7
DOM-03-DIM-08,DOM-03,consumption_mode,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""솔로 플레이"",""협동"",""경쟁"",""관전·커뮤니티""]",8
DOM-03-DIM-09,DOM-03,device_channel_platform,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",9
DOM-03-DIM-10,DOM-03,payment_monetization,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""무료 플레이"",""패키지 구매"",""시즌패스·구독"",""아이템·후원""]",10
DOM-03-DIM-11,DOM-03,decision_unit,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",11
DOM-03-DIM-12,DOM-03,engagement_participation,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",12
DOM-03-DIM-13,DOM-03,motivation_job,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""성취"",""사회적 연결"",""도피·휴식"",""숙련·경쟁""]",13
DOM-03-DIM-14,DOM-03,barrier_risk_trust,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""시간 부족"",""과금 불신"",""유해행동"",""기기 비용""]",14
DOM-03-DIM-15,DOM-03,loyalty_switching,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",15
DOM-03-DIM-16,DOM-03,spending_value,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",16
DOM-04-DIM-01,DOM-04,object,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""단행본"",""전자책"",""웹툰·웹소설"",""전문·학습서""]",1
DOM-04-DIM-02,DOM-04,format,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""종이책"",""앱 연재"",""오디오북"",""요약·리뷰""]",2
DOM-04-DIM-03,DOM-04,occasion,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""취침 전"",""이동 중"",""학습·업무"",""주말 몰입""]",3
DOM-04-DIM-04,DOM-04,location,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",4
DOM-04-DIM-05,DOM-04,frequency_intensity,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",5
DOM-04-DIM-06,DOM-04,discovery,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",6
DOM-04-DIM-07,DOM-04,acquisition_access,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",7
DOM-04-DIM-08,DOM-04,consumption_mode,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""정독"",""연재 추적"",""듣기"",""토론·리뷰""]",8
DOM-04-DIM-09,DOM-04,device_channel_platform,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",9
DOM-04-DIM-10,DOM-04,payment_monetization,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""도서관·무료"",""구독"",""권·회차 구매"",""소장 구매""]",10
DOM-04-DIM-11,DOM-04,decision_unit,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",11
DOM-04-DIM-12,DOM-04,engagement_participation,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",12
DOM-04-DIM-13,DOM-04,motivation_job,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""지식 습득"",""서사 몰입"",""자기계발"",""취향 탐색""]",13
DOM-04-DIM-14,DOM-04,barrier_risk_trust,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""시간 부족"",""완독 부담"",""플랫폼 잠금"",""가격 부담""]",14
DOM-04-DIM-15,DOM-04,loyalty_switching,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",15
DOM-04-DIM-16,DOM-04,spending_value,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",16
DOM-05-DIM-01,DOM-05,object,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""공연예술"",""전시·박물관"",""지역축제"",""체험 행사""]",1
DOM-05-DIM-02,DOM-05,format,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""현장 관람"",""도슨트·가이드"",""온라인 중계"",""워크숍""]",2
DOM-05-DIM-03,DOM-05,occasion,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""주말 나들이"",""데이트"",""가족 활동"",""여행 연계""]",3
DOM-05-DIM-04,DOM-05,location,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",4
DOM-05-DIM-05,DOM-05,frequency_intensity,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",5
DOM-05-DIM-06,DOM-05,discovery,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",6
DOM-05-DIM-07,DOM-05,acquisition_access,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",7
DOM-05-DIM-08,DOM-05,consumption_mode,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""개인 관람"",""동반 관람"",""참여 체험"",""후기 공유""]",8
DOM-05-DIM-09,DOM-05,device_channel_platform,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",9
DOM-05-DIM-10,DOM-05,payment_monetization,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""무료 행사"",""일반 입장권"",""멤버십"",""프리미엄 좌석""]",10
DOM-05-DIM-11,DOM-05,decision_unit,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",11
DOM-05-DIM-12,DOM-05,engagement_participation,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",12
DOM-05-DIM-13,DOM-05,motivation_job,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""문화 향유"",""새로움"",""사회적 교류"",""지역 소속감""]",13
DOM-05-DIM-14,DOM-05,barrier_risk_trust,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""거리·시간"",""티켓 가격"",""정보 부족"",""혼잡·접근성""]",14
DOM-05-DIM-15,DOM-05,loyalty_switching,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",15
DOM-05-DIM-16,DOM-05,spending_value,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",16
DOM-06-DIM-01,DOM-06,object,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""신선식품"",""가공식품"",""밀키트·간편식"",""건강·특수식""]",1
DOM-06-DIM-02,DOM-06,format,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""주간 장보기"",""소량 수시구매"",""정기배송"",""직접 조리""]",2
DOM-06-DIM-03,DOM-06,occasion,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""평일 식사"",""주말 가족식"",""손님맞이"",""비상 비축""]",3
DOM-06-DIM-04,DOM-06,location,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",4
DOM-06-DIM-05,DOM-06,frequency_intensity,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",5
DOM-06-DIM-06,DOM-06,discovery,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",6
DOM-06-DIM-07,DOM-06,acquisition_access,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",7
DOM-06-DIM-08,DOM-06,consumption_mode,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""계획 구매"",""즉흥 구매"",""공동 조리"",""간편 조리""]",8
DOM-06-DIM-09,DOM-06,device_channel_platform,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",9
DOM-06-DIM-10,DOM-06,payment_monetization,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""현장 결제"",""온라인 주문"",""정기구독"",""할인·포인트""]",10
DOM-06-DIM-11,DOM-06,decision_unit,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",11
DOM-06-DIM-12,DOM-06,engagement_participation,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",12
DOM-06-DIM-13,DOM-06,motivation_job,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""가족 건강"",""예산 관리"",""조리 편의"",""신선도·품질""]",13
DOM-06-DIM-14,DOM-06,barrier_risk_trust,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""물가 부담"",""품질 불확실"",""배송 신뢰"",""조리 시간""]",14
DOM-06-DIM-15,DOM-06,loyalty_switching,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",15
DOM-06-DIM-16,DOM-06,spending_value,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",16
DOM-07-DIM-01,DOM-07,object,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""한식·일상식"",""배달 음식"",""카페·디저트"",""특별 외식""]",1
DOM-07-DIM-02,DOM-07,format,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""매장 식사"",""포장"",""배달앱"",""예약 코스""]",2
DOM-07-DIM-03,DOM-07,occasion,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""혼밥"",""업무 중 식사"",""친교 모임"",""기념일""]",3
DOM-07-DIM-04,DOM-07,location,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",4
DOM-07-DIM-05,DOM-07,frequency_intensity,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",5
DOM-07-DIM-06,DOM-07,discovery,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",6
DOM-07-DIM-07,DOM-07,acquisition_access,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",7
DOM-07-DIM-08,DOM-07,consumption_mode,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""빠른 해결"",""탐색 방문"",""반복 주문"",""후기·공유""]",8
DOM-07-DIM-09,DOM-07,device_channel_platform,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",9
DOM-07-DIM-10,DOM-07,payment_monetization,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""현장 결제"",""앱 결제"",""쿠폰·멤버십"",""단체 정산""]",10
DOM-07-DIM-11,DOM-07,decision_unit,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",11
DOM-07-DIM-12,DOM-07,engagement_participation,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",12
DOM-07-DIM-13,DOM-07,motivation_job,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""편의"",""맛 탐색"",""사회적 교류"",""보상·기분전환""]",13
DOM-07-DIM-14,DOM-07,barrier_risk_trust,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""배달비·가격"",""위생 신뢰"",""대기 시간"",""후기 조작 우려""]",14
DOM-07-DIM-15,DOM-07,loyalty_switching,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",15
DOM-07-DIM-16,DOM-07,spending_value,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",16
DOM-08-DIM-01,DOM-08,object,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""일상 의류"",""스포츠·아웃도어웨어"",""명품·디자이너"",""리셀·빈티지""]",1
DOM-08-DIM-02,DOM-08,format,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""매장 구매"",""온라인몰"",""라이브커머스"",""중고 거래""]",2
DOM-08-DIM-03,DOM-08,occasion,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""계절 교체"",""출근·행사"",""여행"",""취향 컬렉션""]",3
DOM-08-DIM-04,DOM-08,location,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",4
DOM-08-DIM-05,DOM-08,frequency_intensity,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",5
DOM-08-DIM-06,DOM-08,discovery,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",6
DOM-08-DIM-07,DOM-08,acquisition_access,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",7
DOM-08-DIM-08,DOM-08,consumption_mode,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""목적 구매"",""탐색 쇼핑"",""코디 공유"",""재판매""]",8
DOM-08-DIM-09,DOM-08,device_channel_platform,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",9
DOM-08-DIM-10,DOM-08,payment_monetization,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""정가"",""할인·쿠폰"",""할부"",""판매대금 상계""]",10
DOM-08-DIM-11,DOM-08,decision_unit,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",11
DOM-08-DIM-12,DOM-08,engagement_participation,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",12
DOM-08-DIM-13,DOM-08,motivation_job,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""자기표현"",""기능성"",""희소성"",""가치 소비""]",13
DOM-08-DIM-14,DOM-08,barrier_risk_trust,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""사이즈 불확실"",""정품 신뢰"",""반품 번거로움"",""충동구매""]",14
DOM-08-DIM-15,DOM-08,loyalty_switching,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",15
DOM-08-DIM-16,DOM-08,spending_value,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",16
DOM-09-DIM-01,DOM-09,object,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""스킨케어"",""메이크업"",""헤어·바디"",""미용 서비스""]",1
DOM-09-DIM-02,DOM-09,format,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""데일리 루틴"",""집중 케어"",""매장 시술"",""샘플·체험""]",2
DOM-09-DIM-03,DOM-09,occasion,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""아침 준비"",""저녁 관리"",""계절 변화"",""행사 전""]",3
DOM-09-DIM-04,DOM-09,location,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",4
DOM-09-DIM-05,DOM-09,frequency_intensity,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",5
DOM-09-DIM-06,DOM-09,discovery,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",6
DOM-09-DIM-07,DOM-09,acquisition_access,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",7
DOM-09-DIM-08,DOM-09,consumption_mode,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""셀프케어"",""전문가 상담"",""리뷰 탐색"",""루틴 공유""]",8
DOM-09-DIM-09,DOM-09,device_channel_platform,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",9
DOM-09-DIM-10,DOM-09,payment_monetization,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""단품 구매"",""정기 구매"",""시술 패키지"",""샘플·증정""]",10
DOM-09-DIM-11,DOM-09,decision_unit,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",11
DOM-09-DIM-12,DOM-09,engagement_participation,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",12
DOM-09-DIM-13,DOM-09,motivation_job,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""건강한 외관"",""자기표현"",""문제 해결"",""휴식·돌봄""]",13
DOM-09-DIM-14,DOM-09,barrier_risk_trust,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""효능 불확실"",""성분 우려"",""피부 부작용"",""과장 광고""]",14
DOM-09-DIM-15,DOM-09,loyalty_switching,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",15
DOM-09-DIM-16,DOM-09,spending_value,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",16
DOM-10-DIM-01,DOM-10,object,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""국내 단기여행"",""해외여행"",""호캉스·휴양"",""캠핑·체류""]",1
DOM-10-DIM-02,DOM-10,format,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""자유여행"",""패키지"",""당일치기"",""장기 체류""]",2
DOM-10-DIM-03,DOM-10,occasion,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""연휴"",""가족 휴가"",""기념일"",""업무 연계""]",3
DOM-10-DIM-04,DOM-10,location,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",4
DOM-10-DIM-05,DOM-10,frequency_intensity,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",5
DOM-10-DIM-06,DOM-10,discovery,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",6
DOM-10-DIM-07,DOM-10,acquisition_access,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",7
DOM-10-DIM-08,DOM-10,consumption_mode,applicable,핵심 소비·사용 여정을 구성하는 공통축,"[""계획형"",""즉흥형"",""현지 몰입"",""안전·편의형""]",8
