domain_feature_id,domain_id,dimension_id,feature_code,label_ko,data_type,allowed_values_json,observable_status,targetability_class,queryable
DOM-02-FEAT-01,DOM-02,DOM-02-DIM-01,video_ott.object,영상·OTT object,category,"[""드라마"",""영화"",""예능"",""다큐·정보""]",observable_or_declared,proxy_targetable,true
DOM-02-FEAT-02,DOM-02,DOM-02-DIM-02,video_ott.format,영상·OTT format,category,"[""장편 VOD"",""숏폼"",""라이브"",""클립·하이라이트""]",observable_or_declared,proxy_targetable,true
DOM-02-FEAT-03,DOM-02,DOM-02-DIM-03,video_ott.occasion,영상·OTT occasion,category,"[""퇴근 후"",""주말 몰아보기"",""이동 중"",""가족 공동시청""]",observable_or_declared,proxy_targetable,true
DOM-02-FEAT-04,DOM-02,DOM-02-DIM-04,video_ott.location,영상·OTT location,category,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",observable_or_declared,proxy_targetable,true
DOM-02-FEAT-05,DOM-02,DOM-02-DIM-05,video_ott.frequency_intensity,영상·OTT frequency_intensity,category,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",observable_or_declared,proxy_targetable,true
DOM-02-FEAT-06,DOM-02,DOM-02-DIM-06,video_ott.discovery,영상·OTT discovery,category,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",observable_or_declared,proxy_targetable,true
DOM-02-FEAT-07,DOM-02,DOM-02-DIM-07,video_ott.acquisition_access,영상·OTT acquisition_access,category,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",observable_or_declared,proxy_targetable,true
DOM-02-FEAT-08,DOM-02,DOM-02-DIM-08,video_ott.consumption_mode,영상·OTT consumption_mode,category,"[""몰입 시청"",""배경 재생"",""동시 시청"",""리뷰·공유""]",observable_or_declared,proxy_targetable,true
DOM-02-FEAT-09,DOM-02,DOM-02-DIM-09,video_ott.device_channel_platform,영상·OTT device_channel_platform,category,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",observable_or_declared,proxy_targetable,true
DOM-02-FEAT-10,DOM-02,DOM-02-DIM-10,video_ott.payment_monetization,영상·OTT payment_monetization,category,"[""무료·광고형"",""단일 구독"",""묶음 구독"",""건별 대여·구매""]",observable_or_declared,proxy_targetable,true
DOM-02-FEAT-11,DOM-02,DOM-02-DIM-11,video_ott.decision_unit,영상·OTT decision_unit,category,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",observable_or_declared,proxy_targetable,true
DOM-02-FEAT-12,DOM-02,DOM-02-DIM-12,video_ott.engagement_participation,영상·OTT engagement_participation,category,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",observable_or_declared,proxy_targetable,true
DOM-02-FEAT-13,DOM-02,DOM-02-DIM-13,video_ott.motivation_job,영상·OTT motivation_job,category,"[""서사 몰입"",""휴식"",""화제 참여"",""정보 습득""]",inferred_hypothesis,contextual_only,true
DOM-02-FEAT-14,DOM-02,DOM-02-DIM-14,video_ott.barrier_risk_trust,영상·OTT barrier_risk_trust,category,"[""구독 중복"",""탐색 피로"",""스포일러"",""콘텐츠 신뢰""]",inferred_hypothesis,contextual_only,true
DOM-02-FEAT-15,DOM-02,DOM-02-DIM-15,video_ott.loyalty_switching,영상·OTT loyalty_switching,category,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",observable_or_declared,proxy_targetable,true
DOM-02-FEAT-16,DOM-02,DOM-02-DIM-16,video_ott.spending_value,영상·OTT spending_value,category,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",observable_or_declared,proxy_targetable,true
DOM-02-FEAT-17,DOM-02,,video_ott.recency,영상·OTT 최근 이용 시점,category,"[""7일 이내"",""30일 이내"",""12개월 이내"",""12개월 초과""]",derived,contextual_only,true
DOM-02-FEAT-18,DOM-02,,video_ott.lifecycle_stage,영상·OTT 도메인 생애주기,category,"[""잠재"",""신규"",""활성"",""휴면·이탈""]",derived,contextual_only,true
DOM-02-FEAT-19,DOM-02,,video_ott.need_state,영상·OTT 미충족 필요 상태,category,"[""충족"",""부분 충족"",""대안 탐색"",""접근 불가""]",derived,contextual_only,true
DOM-02-FEAT-20,DOM-02,,video_ott.evidence_strength,영상·OTT 근거 강도,category,"[""직접 관측"",""공식 사전분포"",""합성 프록시"",""탐색적 가설""]",derived,contextual_only,true
DOM-03-FEAT-01,DOM-03,DOM-03-DIM-01,gaming_esports.object,게임·e스포츠 object,category,"[""모바일 게임"",""PC·콘솔 게임"",""e스포츠"",""보드·소셜 게임""]",observable_or_declared,proxy_targetable,true
DOM-03-FEAT-02,DOM-03,DOM-03-DIM-02,gaming_esports.format,게임·e스포츠 format,category,"[""짧은 세션"",""장기 캠페인"",""경쟁전"",""관전·스트리밍""]",observable_or_declared,proxy_targetable,true
DOM-03-FEAT-03,DOM-03,DOM-03-DIM-03,gaming_esports.occasion,게임·e스포츠 occasion,category,"[""틈새 시간"",""저녁 여가"",""친구 모임"",""대회·시즌""]",observable_or_declared,proxy_targetable,true
DOM-03-FEAT-04,DOM-03,DOM-03-DIM-04,gaming_esports.location,게임·e스포츠 location,category,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",observable_or_declared,proxy_targetable,true
DOM-03-FEAT-05,DOM-03,DOM-03-DIM-05,gaming_esports.frequency_intensity,게임·e스포츠 frequency_intensity,category,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",observable_or_declared,proxy_targetable,true
DOM-03-FEAT-06,DOM-03,DOM-03-DIM-06,gaming_esports.discovery,게임·e스포츠 discovery,category,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",observable_or_declared,proxy_targetable,true
DOM-03-FEAT-07,DOM-03,DOM-03-DIM-07,gaming_esports.acquisition_access,게임·e스포츠 acquisition_access,category,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",observable_or_declared,proxy_targetable,true
DOM-03-FEAT-08,DOM-03,DOM-03-DIM-08,gaming_esports.consumption_mode,게임·e스포츠 consumption_mode,category,"[""솔로 플레이"",""협동"",""경쟁"",""관전·커뮤니티""]",observable_or_declared,proxy_targetable,true
DOM-03-FEAT-09,DOM-03,DOM-03-DIM-09,gaming_esports.device_channel_platform,게임·e스포츠 device_channel_platform,category,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",observable_or_declared,proxy_targetable,true
DOM-03-FEAT-10,DOM-03,DOM-03-DIM-10,gaming_esports.payment_monetization,게임·e스포츠 payment_monetization,category,"[""무료 플레이"",""패키지 구매"",""시즌패스·구독"",""아이템·후원""]",observable_or_declared,proxy_targetable,true
DOM-03-FEAT-11,DOM-03,DOM-03-DIM-11,gaming_esports.decision_unit,게임·e스포츠 decision_unit,category,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",observable_or_declared,proxy_targetable,true
DOM-03-FEAT-12,DOM-03,DOM-03-DIM-12,gaming_esports.engagement_participation,게임·e스포츠 engagement_participation,category,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",observable_or_declared,proxy_targetable,true
DOM-03-FEAT-13,DOM-03,DOM-03-DIM-13,gaming_esports.motivation_job,게임·e스포츠 motivation_job,category,"[""성취"",""사회적 연결"",""도피·휴식"",""숙련·경쟁""]",inferred_hypothesis,contextual_only,true
DOM-03-FEAT-14,DOM-03,DOM-03-DIM-14,gaming_esports.barrier_risk_trust,게임·e스포츠 barrier_risk_trust,category,"[""시간 부족"",""과금 불신"",""유해행동"",""기기 비용""]",inferred_hypothesis,contextual_only,true
DOM-03-FEAT-15,DOM-03,DOM-03-DIM-15,gaming_esports.loyalty_switching,게임·e스포츠 loyalty_switching,category,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",observable_or_declared,proxy_targetable,true
DOM-03-FEAT-16,DOM-03,DOM-03-DIM-16,gaming_esports.spending_value,게임·e스포츠 spending_value,category,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",observable_or_declared,proxy_targetable,true
DOM-03-FEAT-17,DOM-03,,gaming_esports.recency,게임·e스포츠 최근 이용 시점,category,"[""7일 이내"",""30일 이내"",""12개월 이내"",""12개월 초과""]",derived,contextual_only,true
DOM-03-FEAT-18,DOM-03,,gaming_esports.lifecycle_stage,게임·e스포츠 도메인 생애주기,category,"[""잠재"",""신규"",""활성"",""휴면·이탈""]",derived,contextual_only,true
DOM-03-FEAT-19,DOM-03,,gaming_esports.need_state,게임·e스포츠 미충족 필요 상태,category,"[""충족"",""부분 충족"",""대안 탐색"",""접근 불가""]",derived,contextual_only,true
DOM-03-FEAT-20,DOM-03,,gaming_esports.evidence_strength,게임·e스포츠 근거 강도,category,"[""직접 관측"",""공식 사전분포"",""합성 프록시"",""탐색적 가설""]",derived,contextual_only,true
DOM-04-FEAT-01,DOM-04,DOM-04-DIM-01,reading_webtoon.object,독서·웹툰 object,category,"[""단행본"",""전자책"",""웹툰·웹소설"",""전문·학습서""]",observable_or_declared,proxy_targetable,true
DOM-04-FEAT-02,DOM-04,DOM-04-DIM-02,reading_webtoon.format,독서·웹툰 format,category,"[""종이책"",""앱 연재"",""오디오북"",""요약·리뷰""]",observable_or_declared,proxy_targetable,true
DOM-04-FEAT-03,DOM-04,DOM-04-DIM-03,reading_webtoon.occasion,독서·웹툰 occasion,category,"[""취침 전"",""이동 중"",""학습·업무"",""주말 몰입""]",observable_or_declared,proxy_targetable,true
DOM-04-FEAT-04,DOM-04,DOM-04-DIM-04,reading_webtoon.location,독서·웹툰 location,category,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",observable_or_declared,proxy_targetable,true
DOM-04-FEAT-05,DOM-04,DOM-04-DIM-05,reading_webtoon.frequency_intensity,독서·웹툰 frequency_intensity,category,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",observable_or_declared,proxy_targetable,true
DOM-04-FEAT-06,DOM-04,DOM-04-DIM-06,reading_webtoon.discovery,독서·웹툰 discovery,category,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",observable_or_declared,proxy_targetable,true
DOM-04-FEAT-07,DOM-04,DOM-04-DIM-07,reading_webtoon.acquisition_access,독서·웹툰 acquisition_access,category,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",observable_or_declared,proxy_targetable,true
DOM-04-FEAT-08,DOM-04,DOM-04-DIM-08,reading_webtoon.consumption_mode,독서·웹툰 consumption_mode,category,"[""정독"",""연재 추적"",""듣기"",""토론·리뷰""]",observable_or_declared,proxy_targetable,true
DOM-04-FEAT-09,DOM-04,DOM-04-DIM-09,reading_webtoon.device_channel_platform,독서·웹툰 device_channel_platform,category,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",observable_or_declared,proxy_targetable,true
DOM-04-FEAT-10,DOM-04,DOM-04-DIM-10,reading_webtoon.payment_monetization,독서·웹툰 payment_monetization,category,"[""도서관·무료"",""구독"",""권·회차 구매"",""소장 구매""]",observable_or_declared,proxy_targetable,true
DOM-04-FEAT-11,DOM-04,DOM-04-DIM-11,reading_webtoon.decision_unit,독서·웹툰 decision_unit,category,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",observable_or_declared,proxy_targetable,true
DOM-04-FEAT-12,DOM-04,DOM-04-DIM-12,reading_webtoon.engagement_participation,독서·웹툰 engagement_participation,category,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",observable_or_declared,proxy_targetable,true
DOM-04-FEAT-13,DOM-04,DOM-04-DIM-13,reading_webtoon.motivation_job,독서·웹툰 motivation_job,category,"[""지식 습득"",""서사 몰입"",""자기계발"",""취향 탐색""]",inferred_hypothesis,contextual_only,true
DOM-04-FEAT-14,DOM-04,DOM-04-DIM-14,reading_webtoon.barrier_risk_trust,독서·웹툰 barrier_risk_trust,category,"[""시간 부족"",""완독 부담"",""플랫폼 잠금"",""가격 부담""]",inferred_hypothesis,contextual_only,true
DOM-04-FEAT-15,DOM-04,DOM-04-DIM-15,reading_webtoon.loyalty_switching,독서·웹툰 loyalty_switching,category,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",observable_or_declared,proxy_targetable,true
DOM-04-FEAT-16,DOM-04,DOM-04-DIM-16,reading_webtoon.spending_value,독서·웹툰 spending_value,category,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",observable_or_declared,proxy_targetable,true
DOM-04-FEAT-17,DOM-04,,reading_webtoon.recency,독서·웹툰 최근 이용 시점,category,"[""7일 이내"",""30일 이내"",""12개월 이내"",""12개월 초과""]",derived,contextual_only,true
DOM-04-FEAT-18,DOM-04,,reading_webtoon.lifecycle_stage,독서·웹툰 도메인 생애주기,category,"[""잠재"",""신규"",""활성"",""휴면·이탈""]",derived,contextual_only,true
DOM-04-FEAT-19,DOM-04,,reading_webtoon.need_state,독서·웹툰 미충족 필요 상태,category,"[""충족"",""부분 충족"",""대안 탐색"",""접근 불가""]",derived,contextual_only,true
DOM-04-FEAT-20,DOM-04,,reading_webtoon.evidence_strength,독서·웹툰 근거 강도,category,"[""직접 관측"",""공식 사전분포"",""합성 프록시"",""탐색적 가설""]",derived,contextual_only,true
DOM-05-FEAT-01,DOM-05,DOM-05-DIM-01,culture_events.object,문화예술·행사 object,category,"[""공연예술"",""전시·박물관"",""지역축제"",""체험 행사""]",observable_or_declared,proxy_targetable,true
DOM-05-FEAT-02,DOM-05,DOM-05-DIM-02,culture_events.format,문화예술·행사 format,category,"[""현장 관람"",""도슨트·가이드"",""온라인 중계"",""워크숍""]",observable_or_declared,proxy_targetable,true
DOM-05-FEAT-03,DOM-05,DOM-05-DIM-03,culture_events.occasion,문화예술·행사 occasion,category,"[""주말 나들이"",""데이트"",""가족 활동"",""여행 연계""]",observable_or_declared,proxy_targetable,true
DOM-05-FEAT-04,DOM-05,DOM-05-DIM-04,culture_events.location,문화예술·행사 location,category,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",observable_or_declared,proxy_targetable,true
DOM-05-FEAT-05,DOM-05,DOM-05-DIM-05,culture_events.frequency_intensity,문화예술·행사 frequency_intensity,category,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",observable_or_declared,proxy_targetable,true
DOM-05-FEAT-06,DOM-05,DOM-05-DIM-06,culture_events.discovery,문화예술·행사 discovery,category,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",observable_or_declared,proxy_targetable,true
DOM-05-FEAT-07,DOM-05,DOM-05-DIM-07,culture_events.acquisition_access,문화예술·행사 acquisition_access,category,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",observable_or_declared,proxy_targetable,true
DOM-05-FEAT-08,DOM-05,DOM-05-DIM-08,culture_events.consumption_mode,문화예술·행사 consumption_mode,category,"[""개인 관람"",""동반 관람"",""참여 체험"",""후기 공유""]",observable_or_declared,proxy_targetable,true
DOM-05-FEAT-09,DOM-05,DOM-05-DIM-09,culture_events.device_channel_platform,문화예술·행사 device_channel_platform,category,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",observable_or_declared,proxy_targetable,true
DOM-05-FEAT-10,DOM-05,DOM-05-DIM-10,culture_events.payment_monetization,문화예술·행사 payment_monetization,category,"[""무료 행사"",""일반 입장권"",""멤버십"",""프리미엄 좌석""]",observable_or_declared,proxy_targetable,true
DOM-05-FEAT-11,DOM-05,DOM-05-DIM-11,culture_events.decision_unit,문화예술·행사 decision_unit,category,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",observable_or_declared,proxy_targetable,true
DOM-05-FEAT-12,DOM-05,DOM-05-DIM-12,culture_events.engagement_participation,문화예술·행사 engagement_participation,category,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",observable_or_declared,proxy_targetable,true
DOM-05-FEAT-13,DOM-05,DOM-05-DIM-13,culture_events.motivation_job,문화예술·행사 motivation_job,category,"[""문화 향유"",""새로움"",""사회적 교류"",""지역 소속감""]",inferred_hypothesis,contextual_only,true
DOM-05-FEAT-14,DOM-05,DOM-05-DIM-14,culture_events.barrier_risk_trust,문화예술·행사 barrier_risk_trust,category,"[""거리·시간"",""티켓 가격"",""정보 부족"",""혼잡·접근성""]",inferred_hypothesis,contextual_only,true
DOM-05-FEAT-15,DOM-05,DOM-05-DIM-15,culture_events.loyalty_switching,문화예술·행사 loyalty_switching,category,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",observable_or_declared,proxy_targetable,true
DOM-05-FEAT-16,DOM-05,DOM-05-DIM-16,culture_events.spending_value,문화예술·행사 spending_value,category,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",observable_or_declared,proxy_targetable,true
DOM-05-FEAT-17,DOM-05,,culture_events.recency,문화예술·행사 최근 이용 시점,category,"[""7일 이내"",""30일 이내"",""12개월 이내"",""12개월 초과""]",derived,contextual_only,true
DOM-05-FEAT-18,DOM-05,,culture_events.lifecycle_stage,문화예술·행사 도메인 생애주기,category,"[""잠재"",""신규"",""활성"",""휴면·이탈""]",derived,contextual_only,true
DOM-05-FEAT-19,DOM-05,,culture_events.need_state,문화예술·행사 미충족 필요 상태,category,"[""충족"",""부분 충족"",""대안 탐색"",""접근 불가""]",derived,contextual_only,true
DOM-05-FEAT-20,DOM-05,,culture_events.evidence_strength,문화예술·행사 근거 강도,category,"[""직접 관측"",""공식 사전분포"",""합성 프록시"",""탐색적 가설""]",derived,contextual_only,true
DOM-06-FEAT-01,DOM-06,DOM-06-DIM-01,grocery_home_meals.object,식료품·가정식 object,category,"[""신선식품"",""가공식품"",""밀키트·간편식"",""건강·특수식""]",observable_or_declared,proxy_targetable,true
DOM-06-FEAT-02,DOM-06,DOM-06-DIM-02,grocery_home_meals.format,식료품·가정식 format,category,"[""주간 장보기"",""소량 수시구매"",""정기배송"",""직접 조리""]",observable_or_declared,proxy_targetable,true
DOM-06-FEAT-03,DOM-06,DOM-06-DIM-03,grocery_home_meals.occasion,식료품·가정식 occasion,category,"[""평일 식사"",""주말 가족식"",""손님맞이"",""비상 비축""]",observable_or_declared,proxy_targetable,true
DOM-06-FEAT-04,DOM-06,DOM-06-DIM-04,grocery_home_meals.location,식료품·가정식 location,category,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",observable_or_declared,proxy_targetable,true
DOM-06-FEAT-05,DOM-06,DOM-06-DIM-05,grocery_home_meals.frequency_intensity,식료품·가정식 frequency_intensity,category,"[""거의 매일"",""주 1–4회"",""월 1–3회"",""비정기·휴면""]",observable_or_declared,proxy_targetable,true
DOM-06-FEAT-06,DOM-06,DOM-06-DIM-06,grocery_home_meals.discovery,식료품·가정식 discovery,category,"[""직접 검색"",""알고리즘 추천"",""지인·커뮤니티"",""오프라인 노출""]",observable_or_declared,proxy_targetable,true
DOM-06-FEAT-07,DOM-06,DOM-06-DIM-07,grocery_home_meals.acquisition_access,식료품·가정식 acquisition_access,category,"[""직접 보유·구매"",""구독·회원권"",""플랫폼 중개"",""공공·공유 접근""]",observable_or_declared,proxy_targetable,true
DOM-06-FEAT-08,DOM-06,DOM-06-DIM-08,grocery_home_meals.consumption_mode,식료품·가정식 consumption_mode,category,"[""계획 구매"",""즉흥 구매"",""공동 조리"",""간편 조리""]",observable_or_declared,proxy_targetable,true
DOM-06-FEAT-09,DOM-06,DOM-06-DIM-09,grocery_home_meals.device_channel_platform,식료품·가정식 device_channel_platform,category,"[""모바일"",""PC·웹"",""오프라인 매장·시설"",""전문가·중개 채널""]",observable_or_declared,proxy_targetable,true
DOM-06-FEAT-10,DOM-06,DOM-06-DIM-10,grocery_home_meals.payment_monetization,식료품·가정식 payment_monetization,category,"[""현장 결제"",""온라인 주문"",""정기구독"",""할인·포인트""]",observable_or_declared,proxy_targetable,true
DOM-06-FEAT-11,DOM-06,DOM-06-DIM-11,grocery_home_meals.decision_unit,식료품·가정식 decision_unit,category,"[""개인"",""가구 공동"",""보호자·가족"",""조직·사업체""]",observable_or_declared,proxy_targetable,true
DOM-06-FEAT-12,DOM-06,DOM-06-DIM-12,grocery_home_meals.engagement_participation,식료품·가정식 engagement_participation,category,"[""열람·이용"",""저장·반복"",""평가·공유"",""제작·참여""]",observable_or_declared,proxy_targetable,true
DOM-06-FEAT-13,DOM-06,DOM-06-DIM-13,grocery_home_meals.motivation_job,식료품·가정식 motivation_job,category,"[""가족 건강"",""예산 관리"",""조리 편의"",""신선도·품질""]",inferred_hypothesis,contextual_only,true
DOM-06-FEAT-14,DOM-06,DOM-06-DIM-14,grocery_home_meals.barrier_risk_trust,식료품·가정식 barrier_risk_trust,category,"[""물가 부담"",""품질 불확실"",""배송 신뢰"",""조리 시간""]",inferred_hypothesis,contextual_only,true
DOM-06-FEAT-15,DOM-06,DOM-06-DIM-15,grocery_home_meals.loyalty_switching,식료품·가정식 loyalty_switching,category,"[""단일 선호"",""복수 병행"",""가격·혜택 전환"",""휴면·이탈""]",observable_or_declared,proxy_targetable,true
DOM-06-FEAT-16,DOM-06,DOM-06-DIM-16,grocery_home_meals.spending_value,식료품·가정식 spending_value,category,"[""무지출"",""저가·가성비"",""중간 지출"",""프리미엄·고액""]",observable_or_declared,proxy_targetable,true
DOM-06-FEAT-17,DOM-06,,grocery_home_meals.recency,식료품·가정식 최근 이용 시점,category,"[""7일 이내"",""30일 이내"",""12개월 이내"",""12개월 초과""]",derived,contextual_only,true
DOM-06-FEAT-18,DOM-06,,grocery_home_meals.lifecycle_stage,식료품·가정식 도메인 생애주기,category,"[""잠재"",""신규"",""활성"",""휴면·이탈""]",derived,contextual_only,true
DOM-06-FEAT-19,DOM-06,,grocery_home_meals.need_state,식료품·가정식 미충족 필요 상태,category,"[""충족"",""부분 충족"",""대안 탐색"",""접근 불가""]",derived,contextual_only,true
DOM-06-FEAT-20,DOM-06,,grocery_home_meals.evidence_strength,식료품·가정식 근거 강도,category,"[""직접 관측"",""공식 사전분포"",""합성 프록시"",""탐색적 가설""]",derived,contextual_only,true
DOM-07-FEAT-01,DOM-07,DOM-07-DIM-01,dining_delivery_cafe.object,외식·배달·카페 object,category,"[""한식·일상식"",""배달 음식"",""카페·디저트"",""특별 외식""]",observable_or_declared,proxy_targetable,true
DOM-07-FEAT-02,DOM-07,DOM-07-DIM-02,dining_delivery_cafe.format,외식·배달·카페 format,category,"[""매장 식사"",""포장"",""배달앱"",""예약 코스""]",observable_or_declared,proxy_targetable,true
DOM-07-FEAT-03,DOM-07,DOM-07-DIM-03,dining_delivery_cafe.occasion,외식·배달·카페 occasion,category,"[""혼밥"",""업무 중 식사"",""친교 모임"",""기념일""]",observable_or_declared,proxy_targetable,true
DOM-07-FEAT-04,DOM-07,DOM-07-DIM-04,dining_delivery_cafe.location,외식·배달·카페 location,category,"[""가정"",""직장·학교"",""이동 중"",""상업·공공 장소""]",observable_or_declared,proxy_targetable,true
