behavior_template_id,domain_id,behavior_code,name_ko,definition,rule_json,targetability_class,evidence_status
DOM-02-BEH-07,DOM-02,video_ott.behavior_07,영상·OTT 평가·공유 참여,engagement_participation에서 '평가·공유' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""video_ott.engagement_participation"",""op"":""eq"",""value"":""평가·공유""}",proxy_targetable,template_not_population_estimate
DOM-02-BEH-08,DOM-02,video_ott.behavior_08,영상·OTT 가격·혜택 전환,loyalty_switching에서 '가격·혜택 전환' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""video_ott.loyalty_switching"",""op"":""eq"",""value"":""가격·혜택 전환""}",proxy_targetable,template_not_population_estimate
DOM-02-BEH-09,DOM-02,video_ott.behavior_09,영상·OTT 프리미엄 선택 지출,spending_value에서 '프리미엄·고액' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""video_ott.spending_value"",""op"":""eq"",""value"":""프리미엄·고액""}",proxy_targetable,template_not_population_estimate
DOM-02-BEH-10,DOM-02,video_ott.behavior_10,영상·OTT 휴면·이탈 위험,lifecycle_stage에서 '휴면·이탈' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""video_ott.lifecycle_stage"",""op"":""eq"",""value"":""휴면·이탈""}",contextual_only,template_not_population_estimate
DOM-03-BEH-01,DOM-03,gaming_esports.behavior_01,게임·e스포츠 반복 핵심 이용,frequency_intensity에서 '거의 매일' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""gaming_esports.frequency_intensity"",""op"":""eq"",""value"":""거의 매일""}",proxy_targetable,template_not_population_estimate
DOM-03-BEH-02,DOM-03,gaming_esports.behavior_02,게임·e스포츠 주간 정기 이용,frequency_intensity에서 '주 1–4회' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""gaming_esports.frequency_intensity"",""op"":""eq"",""value"":""주 1–4회""}",proxy_targetable,template_not_population_estimate
DOM-03-BEH-03,DOM-03,gaming_esports.behavior_03,게임·e스포츠 직접 검색 탐색,discovery에서 '직접 검색' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""gaming_esports.discovery"",""op"":""eq"",""value"":""직접 검색""}",proxy_targetable,template_not_population_estimate
DOM-03-BEH-04,DOM-03,gaming_esports.behavior_04,게임·e스포츠 추천 기반 발견,discovery에서 '알고리즘 추천' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""gaming_esports.discovery"",""op"":""eq"",""value"":""알고리즘 추천""}",proxy_targetable,template_not_population_estimate
DOM-03-BEH-05,DOM-03,gaming_esports.behavior_05,게임·e스포츠 가족·동료 공동결정,decision_unit에서 '가구 공동' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""gaming_esports.decision_unit"",""op"":""eq"",""value"":""가구 공동""}",proxy_targetable,template_not_population_estimate
DOM-03-BEH-06,DOM-03,gaming_esports.behavior_06,게임·e스포츠 플랫폼 중개 접근,acquisition_access에서 '플랫폼 중개' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""gaming_esports.acquisition_access"",""op"":""eq"",""value"":""플랫폼 중개""}",proxy_targetable,template_not_population_estimate
DOM-03-BEH-07,DOM-03,gaming_esports.behavior_07,게임·e스포츠 평가·공유 참여,engagement_participation에서 '평가·공유' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""gaming_esports.engagement_participation"",""op"":""eq"",""value"":""평가·공유""}",proxy_targetable,template_not_population_estimate
DOM-03-BEH-08,DOM-03,gaming_esports.behavior_08,게임·e스포츠 가격·혜택 전환,loyalty_switching에서 '가격·혜택 전환' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""gaming_esports.loyalty_switching"",""op"":""eq"",""value"":""가격·혜택 전환""}",proxy_targetable,template_not_population_estimate
DOM-03-BEH-09,DOM-03,gaming_esports.behavior_09,게임·e스포츠 프리미엄 선택 지출,spending_value에서 '프리미엄·고액' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""gaming_esports.spending_value"",""op"":""eq"",""value"":""프리미엄·고액""}",proxy_targetable,template_not_population_estimate
DOM-03-BEH-10,DOM-03,gaming_esports.behavior_10,게임·e스포츠 휴면·이탈 위험,lifecycle_stage에서 '휴면·이탈' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""gaming_esports.lifecycle_stage"",""op"":""eq"",""value"":""휴면·이탈""}",contextual_only,template_not_population_estimate
DOM-04-BEH-01,DOM-04,reading_webtoon.behavior_01,독서·웹툰 반복 핵심 이용,frequency_intensity에서 '거의 매일' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""reading_webtoon.frequency_intensity"",""op"":""eq"",""value"":""거의 매일""}",proxy_targetable,template_not_population_estimate
DOM-04-BEH-02,DOM-04,reading_webtoon.behavior_02,독서·웹툰 주간 정기 이용,frequency_intensity에서 '주 1–4회' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""reading_webtoon.frequency_intensity"",""op"":""eq"",""value"":""주 1–4회""}",proxy_targetable,template_not_population_estimate
DOM-04-BEH-03,DOM-04,reading_webtoon.behavior_03,독서·웹툰 직접 검색 탐색,discovery에서 '직접 검색' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""reading_webtoon.discovery"",""op"":""eq"",""value"":""직접 검색""}",proxy_targetable,template_not_population_estimate
DOM-04-BEH-04,DOM-04,reading_webtoon.behavior_04,독서·웹툰 추천 기반 발견,discovery에서 '알고리즘 추천' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""reading_webtoon.discovery"",""op"":""eq"",""value"":""알고리즘 추천""}",proxy_targetable,template_not_population_estimate
DOM-04-BEH-05,DOM-04,reading_webtoon.behavior_05,독서·웹툰 가족·동료 공동결정,decision_unit에서 '가구 공동' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""reading_webtoon.decision_unit"",""op"":""eq"",""value"":""가구 공동""}",proxy_targetable,template_not_population_estimate
DOM-04-BEH-06,DOM-04,reading_webtoon.behavior_06,독서·웹툰 플랫폼 중개 접근,acquisition_access에서 '플랫폼 중개' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""reading_webtoon.acquisition_access"",""op"":""eq"",""value"":""플랫폼 중개""}",proxy_targetable,template_not_population_estimate
DOM-04-BEH-07,DOM-04,reading_webtoon.behavior_07,독서·웹툰 평가·공유 참여,engagement_participation에서 '평가·공유' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""reading_webtoon.engagement_participation"",""op"":""eq"",""value"":""평가·공유""}",proxy_targetable,template_not_population_estimate
DOM-04-BEH-08,DOM-04,reading_webtoon.behavior_08,독서·웹툰 가격·혜택 전환,loyalty_switching에서 '가격·혜택 전환' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""reading_webtoon.loyalty_switching"",""op"":""eq"",""value"":""가격·혜택 전환""}",proxy_targetable,template_not_population_estimate
DOM-04-BEH-09,DOM-04,reading_webtoon.behavior_09,독서·웹툰 프리미엄 선택 지출,spending_value에서 '프리미엄·고액' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""reading_webtoon.spending_value"",""op"":""eq"",""value"":""프리미엄·고액""}",proxy_targetable,template_not_population_estimate
DOM-04-BEH-10,DOM-04,reading_webtoon.behavior_10,독서·웹툰 휴면·이탈 위험,lifecycle_stage에서 '휴면·이탈' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""reading_webtoon.lifecycle_stage"",""op"":""eq"",""value"":""휴면·이탈""}",contextual_only,template_not_population_estimate
DOM-05-BEH-01,DOM-05,culture_events.behavior_01,문화예술·행사 반복 핵심 이용,frequency_intensity에서 '거의 매일' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""culture_events.frequency_intensity"",""op"":""eq"",""value"":""거의 매일""}",proxy_targetable,template_not_population_estimate
DOM-05-BEH-02,DOM-05,culture_events.behavior_02,문화예술·행사 주간 정기 이용,frequency_intensity에서 '주 1–4회' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""culture_events.frequency_intensity"",""op"":""eq"",""value"":""주 1–4회""}",proxy_targetable,template_not_population_estimate
DOM-05-BEH-03,DOM-05,culture_events.behavior_03,문화예술·행사 직접 검색 탐색,discovery에서 '직접 검색' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""culture_events.discovery"",""op"":""eq"",""value"":""직접 검색""}",proxy_targetable,template_not_population_estimate
DOM-05-BEH-04,DOM-05,culture_events.behavior_04,문화예술·행사 추천 기반 발견,discovery에서 '알고리즘 추천' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""culture_events.discovery"",""op"":""eq"",""value"":""알고리즘 추천""}",proxy_targetable,template_not_population_estimate
DOM-05-BEH-05,DOM-05,culture_events.behavior_05,문화예술·행사 가족·동료 공동결정,decision_unit에서 '가구 공동' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""culture_events.decision_unit"",""op"":""eq"",""value"":""가구 공동""}",proxy_targetable,template_not_population_estimate
DOM-05-BEH-06,DOM-05,culture_events.behavior_06,문화예술·행사 플랫폼 중개 접근,acquisition_access에서 '플랫폼 중개' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""culture_events.acquisition_access"",""op"":""eq"",""value"":""플랫폼 중개""}",proxy_targetable,template_not_population_estimate
DOM-05-BEH-07,DOM-05,culture_events.behavior_07,문화예술·행사 평가·공유 참여,engagement_participation에서 '평가·공유' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""culture_events.engagement_participation"",""op"":""eq"",""value"":""평가·공유""}",proxy_targetable,template_not_population_estimate
DOM-05-BEH-08,DOM-05,culture_events.behavior_08,문화예술·행사 가격·혜택 전환,loyalty_switching에서 '가격·혜택 전환' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""culture_events.loyalty_switching"",""op"":""eq"",""value"":""가격·혜택 전환""}",proxy_targetable,template_not_population_estimate
DOM-05-BEH-09,DOM-05,culture_events.behavior_09,문화예술·행사 프리미엄 선택 지출,spending_value에서 '프리미엄·고액' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""culture_events.spending_value"",""op"":""eq"",""value"":""프리미엄·고액""}",proxy_targetable,template_not_population_estimate
DOM-05-BEH-10,DOM-05,culture_events.behavior_10,문화예술·행사 휴면·이탈 위험,lifecycle_stage에서 '휴면·이탈' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""culture_events.lifecycle_stage"",""op"":""eq"",""value"":""휴면·이탈""}",contextual_only,template_not_population_estimate
DOM-06-BEH-01,DOM-06,grocery_home_meals.behavior_01,식료품·가정식 반복 핵심 이용,frequency_intensity에서 '거의 매일' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""grocery_home_meals.frequency_intensity"",""op"":""eq"",""value"":""거의 매일""}",proxy_targetable,template_not_population_estimate
DOM-06-BEH-02,DOM-06,grocery_home_meals.behavior_02,식료품·가정식 주간 정기 이용,frequency_intensity에서 '주 1–4회' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""grocery_home_meals.frequency_intensity"",""op"":""eq"",""value"":""주 1–4회""}",proxy_targetable,template_not_population_estimate
DOM-06-BEH-03,DOM-06,grocery_home_meals.behavior_03,식료품·가정식 직접 검색 탐색,discovery에서 '직접 검색' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""grocery_home_meals.discovery"",""op"":""eq"",""value"":""직접 검색""}",proxy_targetable,template_not_population_estimate
DOM-06-BEH-04,DOM-06,grocery_home_meals.behavior_04,식료품·가정식 추천 기반 발견,discovery에서 '알고리즘 추천' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""grocery_home_meals.discovery"",""op"":""eq"",""value"":""알고리즘 추천""}",proxy_targetable,template_not_population_estimate
DOM-06-BEH-05,DOM-06,grocery_home_meals.behavior_05,식료품·가정식 가족·동료 공동결정,decision_unit에서 '가구 공동' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""grocery_home_meals.decision_unit"",""op"":""eq"",""value"":""가구 공동""}",proxy_targetable,template_not_population_estimate
DOM-06-BEH-06,DOM-06,grocery_home_meals.behavior_06,식료품·가정식 플랫폼 중개 접근,acquisition_access에서 '플랫폼 중개' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""grocery_home_meals.acquisition_access"",""op"":""eq"",""value"":""플랫폼 중개""}",proxy_targetable,template_not_population_estimate
DOM-06-BEH-07,DOM-06,grocery_home_meals.behavior_07,식료품·가정식 평가·공유 참여,engagement_participation에서 '평가·공유' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""grocery_home_meals.engagement_participation"",""op"":""eq"",""value"":""평가·공유""}",proxy_targetable,template_not_population_estimate
DOM-06-BEH-08,DOM-06,grocery_home_meals.behavior_08,식료품·가정식 가격·혜택 전환,loyalty_switching에서 '가격·혜택 전환' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""grocery_home_meals.loyalty_switching"",""op"":""eq"",""value"":""가격·혜택 전환""}",proxy_targetable,template_not_population_estimate
DOM-06-BEH-09,DOM-06,grocery_home_meals.behavior_09,식료품·가정식 프리미엄 선택 지출,spending_value에서 '프리미엄·고액' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""grocery_home_meals.spending_value"",""op"":""eq"",""value"":""프리미엄·고액""}",proxy_targetable,template_not_population_estimate
DOM-06-BEH-10,DOM-06,grocery_home_meals.behavior_10,식료품·가정식 휴면·이탈 위험,lifecycle_stage에서 '휴면·이탈' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""grocery_home_meals.lifecycle_stage"",""op"":""eq"",""value"":""휴면·이탈""}",contextual_only,template_not_population_estimate
DOM-07-BEH-01,DOM-07,dining_delivery_cafe.behavior_01,외식·배달·카페 반복 핵심 이용,frequency_intensity에서 '거의 매일' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""dining_delivery_cafe.frequency_intensity"",""op"":""eq"",""value"":""거의 매일""}",proxy_targetable,template_not_population_estimate
DOM-07-BEH-02,DOM-07,dining_delivery_cafe.behavior_02,외식·배달·카페 주간 정기 이용,frequency_intensity에서 '주 1–4회' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""dining_delivery_cafe.frequency_intensity"",""op"":""eq"",""value"":""주 1–4회""}",proxy_targetable,template_not_population_estimate
DOM-07-BEH-03,DOM-07,dining_delivery_cafe.behavior_03,외식·배달·카페 직접 검색 탐색,discovery에서 '직접 검색' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""dining_delivery_cafe.discovery"",""op"":""eq"",""value"":""직접 검색""}",proxy_targetable,template_not_population_estimate
DOM-07-BEH-04,DOM-07,dining_delivery_cafe.behavior_04,외식·배달·카페 추천 기반 발견,discovery에서 '알고리즘 추천' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""dining_delivery_cafe.discovery"",""op"":""eq"",""value"":""알고리즘 추천""}",proxy_targetable,template_not_population_estimate
DOM-07-BEH-05,DOM-07,dining_delivery_cafe.behavior_05,외식·배달·카페 가족·동료 공동결정,decision_unit에서 '가구 공동' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""dining_delivery_cafe.decision_unit"",""op"":""eq"",""value"":""가구 공동""}",proxy_targetable,template_not_population_estimate
DOM-07-BEH-06,DOM-07,dining_delivery_cafe.behavior_06,외식·배달·카페 플랫폼 중개 접근,acquisition_access에서 '플랫폼 중개' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""dining_delivery_cafe.acquisition_access"",""op"":""eq"",""value"":""플랫폼 중개""}",proxy_targetable,template_not_population_estimate
DOM-07-BEH-07,DOM-07,dining_delivery_cafe.behavior_07,외식·배달·카페 평가·공유 참여,engagement_participation에서 '평가·공유' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""dining_delivery_cafe.engagement_participation"",""op"":""eq"",""value"":""평가·공유""}",proxy_targetable,template_not_population_estimate
DOM-07-BEH-08,DOM-07,dining_delivery_cafe.behavior_08,외식·배달·카페 가격·혜택 전환,loyalty_switching에서 '가격·혜택 전환' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""dining_delivery_cafe.loyalty_switching"",""op"":""eq"",""value"":""가격·혜택 전환""}",proxy_targetable,template_not_population_estimate
DOM-07-BEH-09,DOM-07,dining_delivery_cafe.behavior_09,외식·배달·카페 프리미엄 선택 지출,spending_value에서 '프리미엄·고액' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""dining_delivery_cafe.spending_value"",""op"":""eq"",""value"":""프리미엄·고액""}",proxy_targetable,template_not_population_estimate
DOM-07-BEH-10,DOM-07,dining_delivery_cafe.behavior_10,외식·배달·카페 휴면·이탈 위험,lifecycle_stage에서 '휴면·이탈' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""dining_delivery_cafe.lifecycle_stage"",""op"":""eq"",""value"":""휴면·이탈""}",contextual_only,template_not_population_estimate
DOM-08-BEH-01,DOM-08,fashion_resale.behavior_01,패션·리셀 반복 핵심 이용,frequency_intensity에서 '거의 매일' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""fashion_resale.frequency_intensity"",""op"":""eq"",""value"":""거의 매일""}",proxy_targetable,template_not_population_estimate
DOM-08-BEH-02,DOM-08,fashion_resale.behavior_02,패션·리셀 주간 정기 이용,frequency_intensity에서 '주 1–4회' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""fashion_resale.frequency_intensity"",""op"":""eq"",""value"":""주 1–4회""}",proxy_targetable,template_not_population_estimate
DOM-08-BEH-03,DOM-08,fashion_resale.behavior_03,패션·리셀 직접 검색 탐색,discovery에서 '직접 검색' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""fashion_resale.discovery"",""op"":""eq"",""value"":""직접 검색""}",proxy_targetable,template_not_population_estimate
DOM-08-BEH-04,DOM-08,fashion_resale.behavior_04,패션·리셀 추천 기반 발견,discovery에서 '알고리즘 추천' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""fashion_resale.discovery"",""op"":""eq"",""value"":""알고리즘 추천""}",proxy_targetable,template_not_population_estimate
DOM-08-BEH-05,DOM-08,fashion_resale.behavior_05,패션·리셀 가족·동료 공동결정,decision_unit에서 '가구 공동' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""fashion_resale.decision_unit"",""op"":""eq"",""value"":""가구 공동""}",proxy_targetable,template_not_population_estimate
DOM-08-BEH-06,DOM-08,fashion_resale.behavior_06,패션·리셀 플랫폼 중개 접근,acquisition_access에서 '플랫폼 중개' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""fashion_resale.acquisition_access"",""op"":""eq"",""value"":""플랫폼 중개""}",proxy_targetable,template_not_population_estimate
DOM-08-BEH-07,DOM-08,fashion_resale.behavior_07,패션·리셀 평가·공유 참여,engagement_participation에서 '평가·공유' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""fashion_resale.engagement_participation"",""op"":""eq"",""value"":""평가·공유""}",proxy_targetable,template_not_population_estimate
DOM-08-BEH-08,DOM-08,fashion_resale.behavior_08,패션·리셀 가격·혜택 전환,loyalty_switching에서 '가격·혜택 전환' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""fashion_resale.loyalty_switching"",""op"":""eq"",""value"":""가격·혜택 전환""}",proxy_targetable,template_not_population_estimate
DOM-08-BEH-09,DOM-08,fashion_resale.behavior_09,패션·리셀 프리미엄 선택 지출,spending_value에서 '프리미엄·고액' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""fashion_resale.spending_value"",""op"":""eq"",""value"":""프리미엄·고액""}",proxy_targetable,template_not_population_estimate
DOM-08-BEH-10,DOM-08,fashion_resale.behavior_10,패션·리셀 휴면·이탈 위험,lifecycle_stage에서 '휴면·이탈' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""fashion_resale.lifecycle_stage"",""op"":""eq"",""value"":""휴면·이탈""}",contextual_only,template_not_population_estimate
DOM-09-BEH-01,DOM-09,beauty_personal_care.behavior_01,뷰티·개인관리 반복 핵심 이용,frequency_intensity에서 '거의 매일' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""beauty_personal_care.frequency_intensity"",""op"":""eq"",""value"":""거의 매일""}",proxy_targetable,template_not_population_estimate
DOM-09-BEH-02,DOM-09,beauty_personal_care.behavior_02,뷰티·개인관리 주간 정기 이용,frequency_intensity에서 '주 1–4회' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""beauty_personal_care.frequency_intensity"",""op"":""eq"",""value"":""주 1–4회""}",proxy_targetable,template_not_population_estimate
DOM-09-BEH-03,DOM-09,beauty_personal_care.behavior_03,뷰티·개인관리 직접 검색 탐색,discovery에서 '직접 검색' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""beauty_personal_care.discovery"",""op"":""eq"",""value"":""직접 검색""}",proxy_targetable,template_not_population_estimate
DOM-09-BEH-04,DOM-09,beauty_personal_care.behavior_04,뷰티·개인관리 추천 기반 발견,discovery에서 '알고리즘 추천' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""beauty_personal_care.discovery"",""op"":""eq"",""value"":""알고리즘 추천""}",proxy_targetable,template_not_population_estimate
DOM-09-BEH-05,DOM-09,beauty_personal_care.behavior_05,뷰티·개인관리 가족·동료 공동결정,decision_unit에서 '가구 공동' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""beauty_personal_care.decision_unit"",""op"":""eq"",""value"":""가구 공동""}",proxy_targetable,template_not_population_estimate
DOM-09-BEH-06,DOM-09,beauty_personal_care.behavior_06,뷰티·개인관리 플랫폼 중개 접근,acquisition_access에서 '플랫폼 중개' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""beauty_personal_care.acquisition_access"",""op"":""eq"",""value"":""플랫폼 중개""}",proxy_targetable,template_not_population_estimate
DOM-09-BEH-07,DOM-09,beauty_personal_care.behavior_07,뷰티·개인관리 평가·공유 참여,engagement_participation에서 '평가·공유' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""beauty_personal_care.engagement_participation"",""op"":""eq"",""value"":""평가·공유""}",proxy_targetable,template_not_population_estimate
DOM-09-BEH-08,DOM-09,beauty_personal_care.behavior_08,뷰티·개인관리 가격·혜택 전환,loyalty_switching에서 '가격·혜택 전환' 상태를 보이는 관측·선언 기반 행동 템플릿,"{""feature"":""beauty_personal_care.loyalty_switching"",""op"":""eq"",""value"":""가격·혜택 전환""}",proxy_targetable,template_not_population_estimate
