segmentation_model_id,domain_id,algorithm,sample_size,weighted_support,effective_sample_size,candidate_k_json,selected_k,random_seeds_json,selection_rationale,artifact_uri,artifact_sha256,membership_uri,membership_sha256,status,model_version,run_id
DOM-11-MODEL-01,DOM-11,gaussian_mixture,1000,44359.92919597238,999.055339584178,"[3,4,5,6]",5,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/sports_outdoor.joblib,4c46d4748fef8de004b065683a7fafc6025af7e5547554300e6b88e56eadb684,data/processed/phase2/memberships/sports_outdoor.parquet,efd67ae1bfe3e01094f90f8fe2d58776cae64b3d921f80cac9a013eeadd4748d,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-12-MODEL-01,DOM-12,gaussian_mixture,1000,44356.375171326756,999.047951303084,"[3,4,5,6]",3,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/hobbies_creation.joblib,59e3f6c569d7f56b6a9f49146517bd57fd68c61d6a6dd4e0fcf86c216ec93545,data/processed/phase2/memberships/hobbies_creation.parquet,6133adc40dcb2ceaff208228556ca0c6f165141fc080476781c170ad86038118,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-13-MODEL-01,DOM-13,gaussian_mixture,1000,44355.72240076952,999.0587002510591,"[3,4,5,6]",4,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/pets.joblib,e324c0fc90db26a3f2fda23d2b026bd496e24fe97027898d9a0454bbd52b62d0,data/processed/phase2/memberships/pets.parquet,b34ed819eff7f515684f0bbc1cc4397a30d2f23318717020c43f2602dd24270b,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-14-MODEL-01,DOM-14,gaussian_mixture,1000,44365.22175862814,999.0461770186397,"[3,4,5,6]",3,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/housing_home_services.joblib,490055c879265d262de6610a0fc763e50fd5a6ba74797cdf1b6eb5dea473a7f8,data/processed/phase2/memberships/housing_home_services.parquet,fb3ea4cfcfa996116e7011d8345d76a76d82028d10bff35feec162c0de7e0698,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-15-MODEL-01,DOM-15,gaussian_mixture,1000,44360.58541998362,999.0563060972817,"[3,4,5,6]",3,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/mobility_automotive.joblib,08edd00625b91c682c5694aee5d7cb8883192da1c742133553531cf7121d1338,data/processed/phase2/memberships/mobility_automotive.parquet,3550507e0e0da9c3618055c1875187dc73cabf21053c329294d0c9f63c79291e,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-16-MODEL-01,DOM-16,gaussian_mixture,1000,44367.83829029043,999.0504497054162,"[3,4,5,6]",6,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/education_learning.joblib,eeb230644c4c7bfd847b19562d6018b8de0ef1ee20163fb1b091eb29d3f17da8,data/processed/phase2/memberships/education_learning.parquet,a42247d418f0dda43d1d256b6e0ada775da8a765c531424e892c99a9ee1a45bd,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-17-MODEL-01,DOM-17,gaussian_mixture,1000,44376.997392117686,999.0481618012259,"[3,4,5,6]",3,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/parenting_childcare.joblib,c9e84a32deadee264aa131fc9a44d5c2625469fe965892623436b59d92e14c19,data/processed/phase2/memberships/parenting_childcare.parquet,27d38b074244f2e68d0025f6bbf569b2b10351b76f5ee01c325fe3e9544b4e9a,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-18-MODEL-01,DOM-18,gaussian_mixture,1000,44356.4466800255,999.0540530924449,"[3,4,5,6]",3,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/health_wellness_care.joblib,1ca50f33d804843dec7b074c6ee046e8f1ca6a29c31bdd8d9e94d8dd82d1f2c8,data/processed/phase2/memberships/health_wellness_care.parquet,29c90f22f6d48d37b73f3efc0dcba4b281e0bb2b4f62a5f08521d711f801d144,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-19-MODEL-01,DOM-19,gaussian_mixture,966,42965.271903998706,965.038892436564,"[3,4,5,6]",4,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/finance_insurance.joblib,05d188c2cd41c03cbe16b4cbd20836fe6d96695e2fe69b39a7433496f592011f,data/processed/phase2/memberships/finance_insurance.parquet,10337e767774fe69bde6f9b500aee3abe4e7fa5e337be84cee1ffae8bc36e32b,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-20-MODEL-01,DOM-20,gaussian_mixture,1000,44360.63131937233,999.0548728046381,"[3,4,5,6]",3,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/senior_retirement_care.joblib,05cc669d12ad85bdbcaeaf86f79709ee17eb99087bb890eb43171c4840db78ee,data/processed/phase2/memberships/senior_retirement_care.parquet,1171848df6678ff94ab64acd586e44ca5a4c1424c2f6130ec6d0461870d5dfa2,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-21-MODEL-01,DOM-21,gaussian_mixture,1000,44363.84553014647,999.0466029765482,"[3,4,5,6]",3,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/digital_devices_ai.joblib,535754da392765c35e523528c0aa470315d7c6997cc1daf98f816aaaaee4ccfb,data/processed/phase2/memberships/digital_devices_ai.parquet,9446984dc35419f6afdae72f7b1c4318e61d5b2cd68671676fcd415e1c983e1c,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-22-MODEL-01,DOM-22,gaussian_mixture,905,40297.739738495075,904.0573782268444,"[3,4,5,6]",4,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/social_creator.joblib,e714bcb354f73066682bb74ee441b514bafea2d5bfbf7d9d30ae8036ef58b645,data/processed/phase2/memberships/social_creator.parquet,d30264de5551862a2013f4bbbb661eda4e192d70f8877492827ece835e8976ae,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-23-MODEL-01,DOM-23,gaussian_mixture,1000,44367.621544668786,999.037979067006,"[3,4,5,6]",3,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/career_professional.joblib,9d54f9dac24220725ba81c81b4bb570e40fec163af80632bf09ab8fd92503dfb,data/processed/phase2/memberships/career_professional.parquet,7bb595a973d055037e2b2ecadee54ad080957584a0b810c3dc82a4aec40fb8d9,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
DOM-24-MODEL-01,DOM-24,gaussian_mixture,1000,44376.07957743396,999.0431325493179,"[3,4,5,6]",5,"[20260825,20260826,20260827]","최소 weighted share 2.5%, 다중 seed ARI, bootstrap ARI, silhouette, 균형도를 결합한 사전 정의 점수 최대화",data/processed/phase2/models/small_business_digital.joblib,6ca44bc59c71855681ab32c400c989ac9827decab21c69765fd336f583cb7912,data/processed/phase2/memberships/small_business_digital.parquet,853c5859afcbc6c94fe10ccafa6a3b31a5de28d8f75645259dce33cd954622c1,selected,kr-v0.2.1,RUN-P2-20260824T170416Z
