subtype_id,population_confidence_score,population_confidence_grade,interpretation_confidence_score,interpretation_confidence_grade,targetability_confidence_score,targetability_confidence_grade,source_quality_score,sample_support_score,stability_component_score,directness_score,validation_score,total_score,grade,interval_method,gaps_json,validation_plan_json
DOM-05-SUB-01,32,E,43,D,18,E,8,18,10,4,3,43,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-05-SUB-02,32,E,43,D,18,E,8,18,10,4,3,43,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-05-SUB-03,32,E,43,D,18,E,8,18,10,4,3,43,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-06-SUB-01,32,E,37,D,18,E,8,17,5,4,3,37,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-06-SUB-02,32,E,38,D,18,E,8,18,5,4,3,38,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-06-SUB-03,32,E,38,D,18,E,8,18,5,4,3,38,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-06-SUB-04,32,E,35,D,18,E,8,15,5,4,3,35,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-07-SUB-01,32,E,38,D,18,E,8,16,7,4,3,38,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-07-SUB-02,32,E,40,D,18,E,8,18,7,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-07-SUB-03,32,E,38,D,18,E,8,16,7,4,3,38,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-07-SUB-04,32,E,40,D,18,E,8,18,7,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-07-SUB-05,32,E,38,D,18,E,8,16,7,4,3,38,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-08-SUB-01,32,E,42,D,18,E,8,19,8,4,3,42,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-08-SUB-02,32,E,40,D,18,E,8,17,8,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-08-SUB-03,32,E,39,D,18,E,8,16,8,4,3,39,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-09-SUB-01,32,E,36,D,18,E,8,15,6,4,3,36,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-09-SUB-02,32,E,40,D,18,E,8,19,6,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-09-SUB-03,32,E,37,D,18,E,8,16,6,4,3,37,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-09-SUB-04,32,E,36,D,18,E,8,15,6,4,3,36,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-09-SUB-05,32,E,37,D,18,E,8,16,6,4,3,37,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-10-SUB-01,32,E,37,D,18,E,8,19,3,4,3,37,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-10-SUB-02,32,E,34,E,18,E,8,16,3,4,3,34,E,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-10-SUB-03,32,E,33,E,18,E,8,15,3,4,3,33,E,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-10-SUB-04,32,E,32,E,18,E,8,14,3,4,3,32,E,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-10-SUB-05,32,E,34,E,18,E,8,16,3,4,3,34,E,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-11-SUB-01,32,E,36,D,18,E,8,15,6,4,3,36,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-11-SUB-02,32,E,38,D,18,E,8,17,6,4,3,38,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-11-SUB-03,32,E,36,D,18,E,8,15,6,4,3,36,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-11-SUB-04,32,E,39,D,18,E,8,18,6,4,3,39,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-11-SUB-05,32,E,38,D,18,E,8,17,6,4,3,38,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-12-SUB-01,32,E,46,D,18,E,8,19,12,4,3,46,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-12-SUB-02,32,E,42,D,18,E,8,15,12,4,3,42,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-12-SUB-03,32,E,45,D,18,E,8,18,12,4,3,45,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-13-SUB-01,32,E,39,D,18,E,8,18,6,4,3,39,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-13-SUB-02,32,E,37,D,18,E,8,16,6,4,3,37,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-13-SUB-03,32,E,39,D,18,E,8,18,6,4,3,39,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-13-SUB-04,32,E,37,D,18,E,8,16,6,4,3,37,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-14-SUB-01,32,E,41,D,18,E,8,18,8,4,3,41,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-14-SUB-02,32,E,41,D,18,E,8,18,8,4,3,41,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-14-SUB-03,32,E,41,D,18,E,8,18,8,4,3,41,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-15-SUB-01,32,E,43,D,18,E,8,19,9,4,3,43,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-15-SUB-02,32,E,41,D,18,E,8,17,9,4,3,41,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-15-SUB-03,32,E,40,D,18,E,8,16,9,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-16-SUB-01,32,E,40,D,18,E,8,16,9,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-16-SUB-02,32,E,40,D,18,E,8,16,9,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-16-SUB-03,32,E,42,D,18,E,8,18,9,4,3,42,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-16-SUB-04,32,E,39,D,18,E,8,15,9,4,3,39,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-16-SUB-05,32,E,40,D,18,E,8,16,9,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-16-SUB-06,32,E,41,D,18,E,8,17,9,4,3,41,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-17-SUB-01,32,E,40,D,18,E,8,18,7,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-17-SUB-02,32,E,40,D,18,E,8,18,7,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-17-SUB-03,32,E,39,D,18,E,8,17,7,4,3,39,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-18-SUB-01,32,E,47,D,18,E,8,19,13,4,3,47,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-18-SUB-02,32,E,46,D,18,E,8,18,13,4,3,46,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-18-SUB-03,32,E,43,D,18,E,8,15,13,4,3,43,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-19-SUB-01,32,E,42,D,18,E,8,18,9,4,3,42,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-19-SUB-02,32,E,40,D,18,E,8,16,9,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-19-SUB-03,32,E,41,D,18,E,8,17,9,4,3,41,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-19-SUB-04,32,E,40,D,18,E,8,16,9,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-20-SUB-01,32,E,45,D,18,E,8,18,12,4,3,45,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-20-SUB-02,32,E,45,D,18,E,8,18,12,4,3,45,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-20-SUB-03,32,E,44,D,18,E,8,17,12,4,3,44,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-21-SUB-01,32,E,49,D,18,E,8,18,16,4,3,49,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-21-SUB-02,32,E,48,D,18,E,8,17,16,4,3,48,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-21-SUB-03,32,E,48,D,18,E,8,17,16,4,3,48,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-22-SUB-01,32,E,38,D,18,E,8,16,7,4,3,38,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-22-SUB-02,32,E,37,D,18,E,8,15,7,4,3,37,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-22-SUB-03,32,E,40,D,18,E,8,18,7,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-22-SUB-04,32,E,39,D,18,E,8,17,7,4,3,39,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-23-SUB-01,32,E,40,D,18,E,8,17,8,4,3,40,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-23-SUB-02,32,E,41,D,18,E,8,18,8,4,3,41,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-23-SUB-03,32,E,41,D,18,E,8,18,8,4,3,41,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-24-SUB-01,32,E,46,D,18,E,12,17,7,7,3,46,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-24-SUB-02,32,E,45,D,18,E,12,16,7,7,3,45,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-24-SUB-03,32,E,44,D,18,E,12,15,7,7,3,44,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-24-SUB-04,32,E,47,D,18,E,12,18,7,7,3,47,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
DOM-24-SUB-05,32,E,46,D,18,E,12,17,7,7,3,46,D,weighted effective-sample normal interval plus empirical stability margin,"[""synthetic_narrative_source"",""semantic_embedding_transport_unvalidated"",""external_behavior_validation_pending""]","[""first-party aggregate classification study"",""creative holdout test"",""refresh with domain-specific official microdata""]"
